id,lv,waveCnt,wave1-base,wave2-perk,wave3-style,boss
1,1,5,4000,4010,,
2,1,6,4000,1000,,
3,1,6,4005,1001,,
4,1,7,4005,1002,,
5,2,6,4010,1002,,1200
6,2,5,4010,1003,,
7,2,6,4015,1004,,
8,2,6,4015,1005,,
9,3,7,4010,1006,,
10,3,6,4010,1007,,1201
11,3,5,1000,4020,,
12,3,6,1001,4025,,
13,4,6,1002,4100,,
14,4,7,1003,4105,,
15,4,6,1004,1102,,1201
16,4,5,1005,1103,,
17,5,6,1006,1104,,
18,5,6,1007,1105,,
19,5,7,1008,1106,,
20,5,6,1009,4010,,1203
21,6,5,4020,2000,,
22,6,6,4025,2001,,
23,6,6,4100,2002,,
24,6,7,4105,2003,,
25,7,6,4000,2004,,1202
26,7,5,4005,2005,,
27,7,6,4010,2006,,
28,7,6,4015,2007,,
29,8,7,4020,2008,,
30,8,6,4025,2009,,2200
31,8,5,4100,2100,,
32,8,6,4025,2101,,
33,9,6,1100,2102,,
34,9,7,1101,2103,,
35,9,6,1102,2104,,2201
36,9,5,1103,2105,,
37,10,6,1104,2106,,
38,10,6,1105,2107,,
39,10,7,1106,2108,,
40,10,6,4010,2109,,2202
41,11,5,2000,2100,,
42,11,6,2001,2101,,
43,11,7,2002,2102,,
44,11,6,2003,2103,,
45,12,6,2004,2104,,2202
46,12,5,2005,2105,,
47,12,6,2006,2106,,
48,12,6,2007,2107,,
49,13,7,2008,2108,,
50,13,6,2009,2109,,2203
51,4,5,4001,4006,,
52,4,6,4001,3000,,
53,4,6,4006,3000,,
54,5,7,4006,3001,,
55,5,6,4011,3001,,3200
56,5,5,4011,3002,,
57,6,6,4016,3002,,
58,6,6,4016,3003,,
59,6,7,4021,3003,,
60,7,6,4021,3004,,3201
61,7,5,3000,3100,,
62,7,6,3001,3100,,
63,8,6,3002,3101,,
64,8,7,3003,3101,,
65,8,6,3004,3102,,3202
66,9,5,3005,3102,,
67,9,6,3006,3103,,
68,9,6,3007,3103,,
69,10,7,3008,3104,,
70,10,6,3009,3104,,3201
71,10,5,3000,3105,,
72,11,6,3001,3105,,
73,11,6,3002,3106,,
74,11,7,3003,3106,,
75,12,6,3004,3107,,3200
76,12,5,3005,3107,,
77,12,6,3006,3108,,
78,13,6,3007,3108,,
79,13,7,3008,3109,,
80,13,6,3009,3109,,3201
81,14,5,3100,4100,,
82,14,6,3101,4101,,
83,14,6,3102,4105,,
84,15,7,3103,4106,,
85,15,6,3104,4200,,3202
86,15,5,3105,4201,,
87,16,6,3106,4205,,
88,16,6,3107,4206,,
89,16,7,3108,4205,,
90,17,6,3109,4206,,3201
91,17,5,3100,3101,,
92,17,6,3101,3102,,
93,18,7,3102,3103,,
94,18,6,3103,3104,,
95,18,6,3104,3105,,3202
96,19,5,3105,3106,,
97,19,6,3106,3107,,
98,19,6,3107,3108,,
99,20,7,3108,3109,,
100,20,6,3108,4201,3109,3203
101,7,5,4003,4008,,
102,7,6,4003,5000,,
103,8,6,4008,5000,,
104,8,7,4008,5001,,
105,9,6,4013,5001,,5200
106,9,5,4013,5002,,
107,10,6,4018,5002,,
108,10,6,4018,5003,,
109,11,7,4023,5003,,
110,11,6,4023,5004,,5201
111,12,5,5000,5100,,
112,12,6,5001,5100,,
113,13,6,5002,5101,,
114,13,7,5003,5101,,
115,14,6,5004,5102,,5202
116,14,5,5005,5102,,
117,15,6,5006,5103,,
118,15,6,5007,5103,,
119,16,7,5008,5104,,
120,16,6,5009,5104,,5201
121,17,5,5000,5105,,
122,17,6,5001,5105,,
123,18,6,5002,5106,,
124,18,7,5003,5106,,
125,19,6,5004,5107,,5200
126,19,5,5005,5107,,
127,20,6,5006,5108,,
128,20,6,5007,5108,,
129,21,7,5008,5109,,
130,21,6,5009,5109,,5201
131,22,5,5100,4100,,
132,22,6,5101,4103,,
133,23,6,5102,4105,,
134,23,7,5103,4108,,
135,24,6,5104,4200,,5202
136,24,5,5105,4203,,
137,25,6,5106,4205,,
138,25,6,5107,4208,,
139,26,7,5108,4205,,
140,26,6,5109,4208,,5201
141,27,5,5100,5101,,
142,27,6,5101,5102,,
143,28,7,5102,5103,,
144,28,6,5103,5104,,
145,29,6,5104,5105,,5202
146,29,5,5105,5106,,
147,30,6,5106,5107,,
148,30,6,5107,5108,,
149,31,7,5108,5109,,
150,31,6,5108,4203,5109,5203
10001,12,7,4010,1002,,1200
10002,15,7,4011,3001,,3200
10003,18,7,4013,5001,,5200
10004,21,7,4010,1007,,1201
10005,24,7,4021,3004,,3201
10006,27,7,4023,5004,,5201
10007,30,7,1004,1102,,1201
10008,33,7,3004,3102,,3202
10009,36,7,5004,5102,,5202
10010,39,7,1009,4010,,1203
10011,42,7,3009,3104,,3201
10012,45,7,5009,5104,,5201
10013,48,7,4000,2004,,1202
10014,51,7,3004,3107,,3200
10015,54,7,5004,5107,,5200
10016,57,7,4025,2009,,2200
10017,60,7,3009,3109,,3201
10018,63,7,5009,5109,,5201
10019,66,7,1102,2104,,2201
10020,69,7,3104,4200,,3202
10021,72,7,5104,4200,,5202
10022,75,7,4010,2109,,2202
10023,78,7,3109,4206,,3201
10024,81,7,5109,4208,,5201
10025,84,7,2004,2104,,2202
10026,87,7,3104,3105,,3202
10027,90,7,5104,5105,,5202
10028,93,7,2009,2109,,2203
10029,96,7,3108,4201,3109,3203
10030,99,7,5108,4203,5109,5203
