id,wave1,wave1lv,wave2,wave2lv,wave3,wave3lv,wave4,wave4lv,wave5,wave5lv,wave6,wave6lv,wave7,wave7lv
1,4000,1,4000,1,4020,1,4000,1,4020,1,4010,1,,1
2,4020,1,1000,1,1009,1,1005,1,1005,1,1005,1,,1
3,4020,1,4001,1,1001,1,4010,1,1001,1,1001,1,1105,1
4,1000,1,4020,1,4015,1,1002,1,1103,1,1103,1,,1
5,1002,2,4020,2,1000,2,1001,2,1002,2,1200,2,,2
6,4001,2,4011,2,4020,2,4015,2,1105,2,4101,2,,2
7,1100,2,4020,2,4015,2,1006,2,1107,2,1006,2,,2
8,4015,2,1001,2,4015,2,1005,2,4101,2,1106,2,,2
9,1102,3,4020,3,1100,3,1101,3,1200,3,1100,3,,3
10,1005,3,1006,3,4105,3,1005,3,1101,3,1201,3,,3
11,1000,3,1101,3,1002,3,1101,3,1005,3,1009,3,,3
12,1100,3,1003,3,1107,3,1001,3,4015,3,1107,3,,3
13,1105,4,1100,4,1007,4,1105,4,1009,4,1105,4,,4
14,1000,4,1103,4,4015,4,1007,4,1108,4,1108,4,1103,4
15,1106,4,1104,4,1005,4,4015,4,1108,4,1201,4,,4
16,1009,4,1008,4,1106,4,1103,4,1006,4,1009,4,,4
17,4015,5,1002,5,1001,5,1108,5,1109,5,1109,5,,5
18,1003,5,1109,5,1104,5,1003,5,1109,5,1108,5,,5
19,1107,5,1004,5,1004,5,1006,5,1008,5,1008,5,1107,5
20,1105,5,1106,5,4105,5,4020,5,1101,5,1202,5,,5
21,4000,6,4005,6,4020,6,4010,6,4010,6,,6,,6
22,4020,6,1000,6,1009,6,1005,6,1005,6,1005,6,,6
23,4020,6,4001,6,1001,6,4010,6,1001,6,1001,6,1105,6
24,1000,6,4020,6,4015,6,1002,6,1103,6,1103,6,,6
25,1002,7,4020,7,1000,7,1001,7,1002,7,1200,7,,7
26,4001,7,4011,7,4020,7,4015,7,1105,7,4101,7,,7
27,1100,7,4020,7,4015,7,1006,7,1107,7,1006,7,,7
28,4015,7,1001,7,4015,7,1005,7,4101,7,1106,7,,7
29,1102,8,4020,8,1100,8,1101,8,1200,8,1100,8,,8
30,1005,8,1006,8,4105,8,1005,8,1101,8,1201,8,,8
31,1000,8,1101,8,1002,8,1101,8,1005,8,1009,8,,8
32,1100,8,1003,8,1107,8,1001,8,4015,8,1107,8,,8
33,1105,9,1100,9,1007,9,1105,9,1009,9,1105,9,,9
34,1000,9,1103,9,4015,9,1007,9,1108,9,1108,9,1103,9
35,1106,9,1104,9,1005,9,4015,9,1108,9,1201,9,,9
36,1009,9,1008,9,1106,9,1103,9,1006,9,1009,9,,9
37,4015,10,1002,10,1001,10,1108,10,1109,10,1109,10,,10
38,1003,10,1109,10,1104,10,1003,10,1109,10,1108,10,,10
39,1107,10,1004,10,1004,10,1006,10,1008,10,1008,10,1107,10
40,1105,10,1106,10,4105,10,4020,10,1101,10,1201,10,,10
41,1000,11,1101,11,1002,11,1101,11,1005,11,1009,11,,11
42,1100,11,1003,11,1107,11,1001,11,4015,11,1107,11,,11
43,1105,11,1100,11,1007,11,1105,11,1009,11,1105,11,,11
44,1000,11,1103,11,4015,11,1007,11,1108,11,1108,11,1103,11
45,1106,12,1104,12,1005,12,4015,12,1108,12,1201,12,,12
46,1009,12,1008,12,1106,12,1103,12,1006,12,1009,12,,12
47,4015,12,1002,12,1001,12,1108,12,1109,12,1109,12,,12
48,1003,12,1109,12,1104,12,1003,12,1109,12,1108,12,,12
49,1107,13,1004,13,1004,13,1006,13,1008,13,1008,13,1107,13
50,1105,13,1106,13,4105,13,4020,13,1101,13,1203,13,,13
51,4001,2,4005,2,4021,2,4015,2,4015,2,,2,,2
52,4021,2,2000,2,2009,2,2005,2,2005,2,,2,,2
53,4021,2,4001,2,2001,2,4011,2,2001,2,2001,2,,2
54,2000,2,4021,2,4015,2,2002,2,2103,2,2103,2,,2
55,2002,3,4021,3,2000,3,2001,3,2002,3,2200,3,,3
56,4001,3,4011,3,4021,3,4015,3,2105,3,4101,3,,3
57,2100,3,4021,3,4015,3,2006,3,2107,3,2006,3,,3
58,4015,3,2001,3,4015,3,2005,3,4101,3,2106,3,,3
59,2102,4,4021,4,2100,4,2101,4,2200,4,2100,4,,4
60,2005,4,2006,4,4105,4,2005,4,2101,4,2201,4,,4
61,2000,4,2101,4,2002,4,2101,4,2005,4,2009,4,,4
62,2100,4,2003,4,2107,4,2001,4,4015,4,2107,4,,4
63,2105,5,2100,5,2007,5,2105,5,2009,5,2105,5,,5
64,2000,5,2103,5,4015,5,2007,5,2108,5,2108,5,2103,5
65,2106,5,2104,5,2005,5,4015,5,2108,5,2202,5,,5
66,2009,5,2008,5,2106,5,2103,5,2006,5,2009,5,,5
67,4015,6,2002,6,2001,6,2108,6,2109,6,2109,6,,6
68,2003,6,2109,6,2104,6,2003,6,2109,6,2108,6,,6
69,2107,6,2004,6,2004,6,2006,6,2008,6,2008,6,2107,6
70,2105,6,2106,6,4105,6,4021,6,2101,6,2201,6,,6
71,4001,7,4005,7,4021,7,4015,7,4015,7,,7,,7
72,4021,7,2000,7,2009,7,2005,7,2005,7,,7,,7
73,4021,7,4001,7,2001,7,4011,7,2001,7,2001,7,,7
74,2000,7,4021,7,4015,7,2002,7,2103,7,2103,7,,7
75,2002,8,4021,8,2000,8,2001,8,2002,8,2200,8,,8
76,4001,8,4011,8,4021,8,4015,8,2105,8,4101,8,,8
77,2100,8,4021,8,4015,8,2006,8,2107,8,2006,8,,8
78,4015,8,2001,8,4015,8,2005,8,4101,8,2106,8,,8
79,2102,9,4021,9,2100,9,2101,9,2200,9,2100,9,,9
80,2005,9,2006,9,4105,9,2005,9,2101,9,2201,9,,9
81,2000,9,2101,9,2002,9,2101,9,2005,9,2009,9,,9
82,2100,9,2003,9,2107,9,2001,9,4015,9,2107,9,,9
83,2105,10,2100,10,2007,10,2105,10,2009,10,2105,10,,10
84,2000,10,2103,10,4015,10,2007,10,2108,10,2108,10,2103,10
85,2106,10,2104,10,2005,10,4015,10,2108,10,2201,10,,10
86,2009,10,2008,10,2106,10,2103,10,2006,10,2009,10,,10
87,4015,11,2002,11,2001,11,2108,11,2109,11,2109,11,,11
88,2003,11,2109,11,2104,11,2003,11,2109,11,2108,11,,11
89,2107,11,2004,11,2004,11,2006,11,2008,11,2008,11,2107,11
90,2105,11,2106,11,4105,11,4021,11,2101,11,2203,11,,11
91,2000,12,2101,12,2002,12,2101,12,2005,12,2009,12,,12
92,2100,12,2003,12,2107,12,2001,12,4015,12,2107,12,,12
93,2105,12,2100,12,2007,12,2105,12,2009,12,2105,12,,12
94,2000,12,2103,12,4015,12,2007,12,2108,12,2108,12,2103,12
95,2106,13,2104,13,2005,13,4015,13,2108,13,2202,13,,13
96,2009,13,2008,13,2106,13,2103,13,2006,13,2009,13,,13
97,4015,13,2002,13,2001,13,2108,13,2109,13,2109,13,,13
98,2003,13,2109,13,2104,13,2003,13,2109,13,2108,13,,13
99,2107,14,2004,14,2004,14,2006,14,2008,14,2008,14,2107,14
100,2105,14,2106,14,4105,14,4021,14,2101,14,2203,14,,14
101,4000,2,4005,2,4020,2,4015,2,4015,2,,2,,2
102,4020,2,3000,2,3009,2,3005,2,3005,2,,2,,2
103,4020,2,4001,2,3001,2,4010,2,3001,2,3001,2,,2
104,3000,2,4020,2,4015,2,3002,2,3103,2,3103,2,,2
105,3002,3,4020,3,3000,3,3001,3,3002,3,3200,3,,3
106,4001,3,4011,3,4020,3,4015,3,3105,3,4101,3,,3
