id,stage,wave,monster1_id,monster1_level,monster1_visual,monster1_count,monster2_id,monster2_level,monster2_visual,monster2_count,monster3_id,monster3_level,monster3_visual,monster3_count,monster4_id,monster4_level,monster4_visual,monster4_count,is_boss,reward,exp
1,1,1,204000,1,,1,,,,,,,,,,,,,0,0,0
2,1,2,204000,1,,1,,,,,,,,,,,,,0,0,0
3,1,3,204000,1,,1,,,,,,,,,,,,,0,0,0
4,1,4,204000,1,,1,,,,,,,,,,,,,0,1,37
5,2,1,204000,2,,1,,,,,,,,,,,,,0,0,0
6,2,2,204000,2,,1,,,,,,,,,,,,,0,0,0
7,2,3,204000,2,,1,,,,,,,,,,,,,0,0,0
8,2,4,204000,2,,1,,,,,,,,,,,,,0,0,0
9,2,5,204000,2,,2,,,,,,,,,,,,,0,2,44
10,3,1,204000,3,,1,,,,,,,,,,,,,0,0,0
11,3,2,204000,3,,2,,,,,,,,,,,,,0,0,0
12,3,3,204000,3,,1,,,,,,,,,,,,,0,0,0
13,3,4,204000,3,,3,,,,,,,,,,,,,0,3,51
14,4,1,204000,4,,1,,,,,,,,,,,,,0,0,0
15,4,2,204001,4,,1,,,,,,,,,,,,,0,0,0
16,4,3,204000,4,,1,,,,,,,,,,,,,0,4,58
17,5,1,204001,5,,1,,,,,,,,,,,,,0,0,0
18,5,2,204001,5,,2,,,,,,,,,,,,,0,0,0
19,5,3,204000,5,,1,,,,,,,,,,,,,0,0,0
20,5,4,204000,5,,1,204001,5,,1,,,,,,,,,0,0,0
21,5,5,201002,5,,1,204000,5,,1,204001,5,,2,,,,,1,5,65
22,6,1,204000,6,,1,,,,,,,,,,,,,0,0,0
23,6,2,204000,6,,1,204001,6,,1,,,,,,,,,0,0,0
24,6,3,204000,6,,2,204001,6,,1,,,,,,,,,0,0,0
25,6,4,204000,6,,2,204001,6,,2,,,,,,,,,0,0,0
26,6,5,204001,6,,1,,,,,,,,,,,,,0,6,72
27,7,1,204001,7,,1,,,,,,,,,,,,,0,0,0
28,7,2,204001,7,,1,,,,,,,,,,,,,0,0,0
29,7,3,204001,7,,1,204002,7,,2,,,,,,,,,0,7,79
30,8,1,204002,8,,1,,,,,,,,,,,,,0,0,0
31,8,2,204000,8,,2,,,,,,,,,,,,,0,0,0
32,8,3,204000,8,,2,204001,8,,1,,,,,,,,,0,0,0
33,8,4,204001,8,,1,204002,8,,3,,,,,,,,,0,0,0
34,8,5,204000,8,,2,,,,,,,,,,,,,0,8,86
35,9,1,204001,9,,1,,,,,,,,,,,,,0,0,0
36,9,2,204000,9,,1,,,,,,,,,,,,,0,0,0
37,9,3,204000,9,,2,,,,,,,,,,,,,0,0,0
38,9,4,204002,9,,1,,,,,,,,,,,,,0,9,93
39,10,1,204003,10,,1,,,,,,,,,,,,,0,0,0
40,10,2,204002,10,,2,,,,,,,,,,,,,0,0,0
41,10,3,204000,10,,1,,,,,,,,,,,,,0,0,0
42,10,4,201003,10,,1,204000,10,,1,204001,10,,2,,,,,1,10,100
43,11,1,204002,11,,1,,,,,,,,,,,,,0,0,0
44,11,2,204003,11,,1,,,,,,,,,,,,,0,0,0
45,11,3,204000,11,,1,204003,11,,1,,,,,,,,,0,11,107
46,12,1,204000,12,,1,,,,,,,,,,,,,0,0,0
47,12,2,204000,12,,1,,,,,,,,,,,,,0,0,0
