id,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max
1,306035,1,1,2,,,,,,,,,,,,,,,,
2,306035,1,1,2,,,,,,,,,,,,,,,,
3,303000,1,1,2,306035,1,1,2,,,,,,,,,,,,
4,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
5,302000,1,1,2,306002,1,1,2,306036,1,1,2,,,,,,,,
6,303100,1,1,2,306036,1,1,2,306035,1,1,2,,,,,,,,
7,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
8,306035,1,1,2,306036,1,1,2,306037,1,1,2,,,,,,,,
9,303200,1,1,2,306035,1,1,2,306037,1,1,2,306036,1,1,2,,,,
10,302001,1,1,2,306003,1,1,2,306036,1,1,2,306037,1,1,2,306035,1,1,2
11,306038,1,1,2,306037,1,1,2,,,,,,,,,,,,
12,303300,1,1,2,306038,1,1,2,306036,1,1,2,306035,1,1,2,,,,
13,306037,1,1,2,306036,1,1,2,306038,1,1,2,,,,,,,,
14,306037,1,1,2,306038,1,1,2,306036,1,1,2,,,,,,,,
15,303400,1,1,2,306005,1,1,2,306035,1,1,2,306039,1,1,2,306038,1,1,2
16,306039,1,1,2,306035,1,1,2,306038,1,1,2,306037,1,1,2,,,,
17,306038,1,1,2,306037,1,1,2,306036,1,1,2,,,,,,,,
18,303001,1,1,2,306039,1,1,2,,,,,,,,,,,,
19,306038,1,1,2,306000,1,1,2,306036,1,1,2,306035,1,1,2,,,,
20,302002,1,1,2,306006,1,1,2,306039,1,1,2,306000,1,1,2,306036,1,1,2
21,303101,1,1,2,306037,1,1,2,306035,1,1,2,306036,1,1,2,306039,1,1,2
22,306039,1,1,2,306038,1,1,2,306036,1,1,2,306000,1,1,2,,,,
23,306038,1,1,2,306001,1,1,2,306039,1,1,2,306036,1,1,2,306000,1,1,2
24,303201,1,1,2,306000,1,1,2,306039,1,1,2,306037,1,1,2,306036,1,1,2
25,302003,1,1,2,306002,1,1,2,306000,1,1,2,306039,1,1,2,306037,1,1,2
26,306001,1,1,2,306037,1,1,2,306000,1,1,2,,,,,,,,
27,303301,1,1,2,306039,1,1,2,306002,1,1,2,306038,1,1,2,306000,1,1,2
28,306039,1,1,2,306002,1,1,2,306000,1,1,2,306038,1,1,2,306037,1,1,2
29,306002,1,1,2,306001,1,1,2,306037,1,1,2,306038,1,1,2,306039,1,1,2
30,303401,1,1,2,306012,1,1,2,306001,1,1,2,306039,1,1,2,306000,1,1,2
31,306000,1,1,2,306005,1,1,2,306002,1,1,2,306001,1,1,2,,,,
32,306001,1,1,2,306038,1,1,2,306039,1,1,2,306000,1,1,2,306005,1,1,2
33,306039,1,1,2,306002,1,1,2,306000,1,1,2,306010,1,1,2,306005,1,1,2
34,303102,1,1,2,306001,1,1,2,306002,1,1,2,,,,,,,,
35,302004,1,1,2,306015,1,1,2,306000,1,1,2,306039,1,1,2,306005,1,1,2
36,306010,1,1,2,306005,1,1,2,306001,1,1,2,306039,1,1,2,,,,
37,306001,1,1,2,306002,1,1,2,306010,1,1,2,306000,1,1,2,,,,
38,303202,1,1,2,306005,1,1,2,306002,1,1,2,306011,1,1,2,,,,
39,306011,1,1,2,306001,1,1,2,306000,1,1,2,,,,,,,,
40,302005,1,1,2,306019,1,1,2,306010,1,1,2,306000,1,1,2,306002,1,1,2
41,306001,1,1,2,306011,1,1,2,306010,1,1,2,306005,1,1,2,306012,1,1,2
42,303302,1,1,2,306010,1,1,2,306005,1,1,2,306012,1,1,2,306002,1,1,2
43,306005,1,1,2,306010,1,1,2,306002,1,1,2,306011,1,1,2,,,,
44,303402,1,1,2,306010,1,1,2,306012,1,1,2,306002,1,1,2,,,,
45,302006,1,1,2,306018,1,1,2,306005,1,1,2,306011,1,1,2,306012,1,1,2
46,306010,1,1,2,306015,1,1,2,306011,1,1,2,306002,1,1,2,,,,
47,306005,1,1,2,306002,1,1,2,306010,1,1,2,306011,1,1,2,306015,1,1,2
48,303002,1,1,2,306011,1,1,2,306012,1,1,2,306005,1,1,2,,,,
49,306010,1,1,2,306005,1,1,2,306011,1,1,2,,,,,,,,
50,302009,1,1,2,306020,1,1,2,306012,1,1,2,306011,1,1,2,306019,1,1,2
51,306035,1,1,2,,,,,,,,,,,,,,,,
52,306035,1,1,2,,,,,,,,,,,,,,,,
53,306035,1,1,2,,,,,,,,,,,,,,,,
54,306035,1,1,2,,,,,,,,,,,,,,,,
55,306035,1,1,2,,,,,,,,,,,,,,,,
56,306035,1,1,2,,,,,,,,,,,,,,,,
57,306036,1,1,2,306035,1,1,2,,,,,,,,,,,,
58,306036,1,1,2,306035,1,1,2,,,,,,,,,,,,
59,303102,1,1,2,306036,1,1,2,306035,1,1,2,,,,,,,,
60,302007,1,1,2,306033,1,1,2,306035,1,1,2,306036,1,1,2,,,,
61,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
62,306035,1,1,2,,,,,,,,,,,,,,,,
63,306035,1,1,2,306037,1,1,2,306036,1,1,2,,,,,,,,
64,306035,1,1,2,306037,1,1,2,306036,1,1,2,,,,,,,,
65,306036,1,1,2,306035,1,1,2,306037,1,1,2,,,,,,,,
66,306036,1,1,2,306035,1,1,2,306037,1,1,2,,,,,,,,
67,306037,1,1,2,306035,1,1,2,306036,1,1,2,,,,,,,,
68,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
69,303202,1,1,2,306036,1,1,2,306035,1,1,2,306037,1,1,2,,,,
70,302008,1,1,2,306033,1,1,2,306038,1,1,2,306035,1,1,2,306036,1,1,2
71,306037,1,1,2,306036,1,1,2,306038,1,1,2,,,,,,,,
72,306037,1,1,2,306038,1,1,2,306035,1,1,2,,,,,,,,
73,306037,1,1,2,306036,1,1,2,306035,1,1,2,,,,,,,,
74,306038,1,1,2,306035,1,1,2,306036,1,1,2,306037,1,1,2,,,,
75,306036,1,1,2,306037,1,1,2,,,,,,,,,,,,
76,306036,1,1,2,306039,1,1,2,306038,1,1,2,306035,1,1,2,,,,
77,306038,1,1,2,306037,1,1,2,306039,1,1,2,306035,1,1,2,,,,
78,306038,1,1,2,306035,1,1,2,306039,1,1,2,,,,,,,,
79,303302,1,1,2,306035,1,1,2,306038,1,1,2,,,,,,,,
80,302009,1,1,2,306034,1,1,2,306038,1,1,2,306037,1,1,2,306035,1,1,2
81,306039,1,1,2,306037,1,1,2,306038,1,1,2,306036,1,1,2,,,,
82,306039,1,1,2,306035,1,1,2,306027,1,1,2,306037,1,1,2,,,,
83,306038,1,1,2,306035,1,1,2,306027,1,1,2,306037,1,1,2,,,,
84,306027,1,1,2,306037,1,1,2,306039,1,1,2,306038,1,1,2,306036,1,1,2
85,306039,1,1,2,306038,1,1,2,306037,1,1,2,306035,1,1,2,306036,1,1,2
86,306039,1,1,2,306037,1,1,2,306027,1,1,2,306035,1,1,2,306038,1,1,2
87,306027,1,1,2,306038,1,1,2,,,,,,,,,,,,
88,306039,1,1,2,306035,1,1,2,306027,1,1,2,306038,1,1,2,306036,1,1,2
89,303402,1,1,2,306029,1,1,2,306037,1,1,2,306027,1,1,2,306039,1,1,2
90,302009,1,1,2,306034,1,1,2,306029,1,1,2,306036,1,1,2,306038,1,1,2
91,306038,1,1,2,306039,1,1,2,306036,1,1,2,,,,,,,,
92,306037,1,1,2,306038,1,1,2,306029,1,1,2,306039,1,1,2,306027,1,1,2
93,306029,1,1,2,306038,1,1,2,306036,1,1,2,306037,1,1,2,306039,1,1,2
94,306027,1,1,2,306036,1,1,2,306037,1,1,2,306039,1,1,2,306029,1,1,2
95,306039,1,1,2,306033,1,1,2,306029,1,1,2,306037,1,1,2,,,,
96,306033,1,1,2,306039,1,1,2,306027,1,1,2,,,,,,,,
97,306037,1,1,2,306029,1,1,2,306039,1,1,2,306027,1,1,2,,,,
98,306029,1,1,2,306038,1,1,2,,,,,,,,,,,,
99,303002,1,1,2,306033,1,1,2,306037,1,1,2,306038,1,1,2,306029,1,1,2
100,302009,1,1,2,306034,1,1,2,306027,1,1,2,306033,1,1,2,306037,1,1,2
101,306035,1,1,2,,,,,,,,,,,,,,,,
102,306035,1,1,2,,,,,,,,,,,,,,,,
103,306035,1,1,2,,,,,,,,,,,,,,,,
104,306035,1,1,2,,,,,,,,,,,,,,,,
105,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
106,306036,1,1,2,306035,1,1,2,,,,,,,,,,,,
107,306036,1,1,2,,,,,,,,,,,,,,,,
108,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
109,303102,1,1,2,306036,1,1,2,306035,1,1,2,,,,,,,,
110,302000,1,1,2,306020,1,1,2,306036,1,1,2,306035,1,1,2,306037,1,1,2
111,306036,1,1,2,306035,1,1,2,306037,1,1,2,,,,,,,,
112,306035,1,1,2,306037,1,1,2,306036,1,1,2,,,,,,,,
113,306037,1,1,2,306036,1,1,2,306035,1,1,2,,,,,,,,
114,306037,1,1,2,306035,1,1,2,306036,1,1,2,,,,,,,,
115,306038,1,1,2,306036,1,1,2,306037,1,1,2,,,,,,,,
116,306038,1,1,2,306037,1,1,2,306035,1,1,2,306036,1,1,2,,,,
117,306035,1,1,2,306036,1,1,2,306037,1,1,2,,,,,,,,
118,306037,1,1,2,306036,1,1,2,306035,1,1,2,,,,,,,,
119,303202,1,1,2,306036,1,1,2,306039,1,1,2,306038,1,1,2,306037,1,1,2
120,302003,1,1,2,306034,1,1,2,306036,1,1,2,306035,1,1,2,306039,1,1,2
121,306038,1,1,2,306039,1,1,2,306035,1,1,2,306037,1,1,2,306036,1,1,2
